　,外注業者名,受注番号,品名,内容,種別,工程内容,仕様書番号,仕様書名,発注日,発注数,発注単価,発注金額,納期,　,納入場所名,伝票№,担当者,登録日
800004,株式会社栄ライト工業所,29-111026,#12 DS620-46(PIE)ｶｲ2,220,KAK G,ｷﾞｱ･ﾌﾗﾝｼﾞ           ,MLD-EX-20002,PPｷｬｯﾌﾟΦ56,2019/12/03,20736,7.80,161740.8,2020/01/08,100770,(株)明星・エンタープライズ 備前工場,24113,永瀬　智徳,03-Dec-19
800004,株式会社栄ライト工業所,29-111023,#17 DS620-68(PIE)ｶｲ3,220,KAK G,ｷﾞｱ･ﾌﾗﾝｼﾞ           ,MLD-EX-20002,PPｷｬｯﾌﾟΦ56,2019/12/03,33792,7.80,263577.6,2019/12/20,100770,(株)明星・エンタープライズ 備前工場,25113,永瀬　智徳,03-Dec-19
800004,株式会社栄ライト工業所,29-111052,#6 CK900L(F) TypeUｶｲ4,100,KAK G,ｷﾞｱ･ﾌﾗﾝｼﾞ           ,MLD-MD-20034,MD-CP900ICﾎﾙﾀﾞｰｶｲ2,2019/12/03,526,9.50,4997,2020/01/08,199969,弊社岡山第１工場,26113,永瀬　智徳,03-Dec-19
800004,株式会社栄ライト工業所,29-110969,#18 DNP-D646-35ｶｲ2,070,KAK G,ｷﾞｱ･ﾌﾗﾝｼﾞ           ,MLD-MD-20035,MD-SPA-FﾌﾗﾝｼﾞS、T-Lｶｲ1,2019/12/03,804,8.80,7075.2,2020/01/06,199969,弊社岡山第１工場,27113,永瀬　智徳,03-Dec-19
800004,株式会社栄ライト工業所,29-111060,#19 CK-D758(H)ｶｲ5,070,KAK G,ｷﾞｱ･ﾌﾗﾝｼﾞ           ,MLD-MD-20035,MD-SPA-FﾌﾗﾝｼﾞS、T-Lｶｲ1,2019/12/03,36239,8.80,318903.2,2020/01/06,199969,弊社岡山第１工場,28113,永瀬　智徳,03-Dec-19
800004,株式会社栄ライト工業所,29-111063,#2 CK-D768COMMON-35G,070,KAK G,ｷﾞｱ･ﾌﾗﾝｼﾞ           ,MLD-MD-20035,MD-SPA-FﾌﾗﾝｼﾞS、T-Lｶｲ1,2019/12/03,41808,8.80,367910.4,2020/01/10,199969,弊社岡山第１工場,29113,永瀬　智徳,03-Dec-19
800004,株式会社栄ライト工業所,29-111066,#3 CK-D768COMMON-35G,070,KAK G,ｷﾞｱ･ﾌﾗﾝｼﾞ           ,MLD-MD-20035,MD-SPA-FﾌﾗﾝｼﾞS、T-Lｶｲ1,2019/12/03,40200,8.80,353760,2020/01/24,199969,弊社岡山第１工場,20123,永瀬　智徳,03-Dec-19
800004,株式会社栄ライト工業所,29-111067,#2 CK-D868COMMON-35G,070,KAK G,ｷﾞｱ･ﾌﾗﾝｼﾞ           ,MLD-MD-20035,MD-SPA-FﾌﾗﾝｼﾞS、T-Lｶｲ1,2019/12/03,64320,8.80,566016,2020/01/17,199969,弊社岡山第１工場,21123,永瀬　智徳,03-Dec-19
800004,株式会社栄ライト工業所,29-111071,#1 CR-D70ｶｲ3,070,KAK G,ｷﾞｱ･ﾌﾗﾝｼﾞ           ,MLD-MD-20035,MD-SPA-FﾌﾗﾝｼﾞS、T-Lｶｲ1,2019/12/03,202,8.80,1777.6,2020/01/27,199969,弊社岡山第１工場,22123,永瀬　智徳,03-Dec-19
800004,株式会社栄ライト工業所,29-111137,#15 CK-D746(K)-35EUｶｲ1,070,KAK G,ｷﾞｱ･ﾌﾗﾝｼﾞ           ,MLD-MD-20035,MD-SPA-FﾌﾗﾝｼﾞS、T-Lｶｲ1,2019/12/03,13508,8.80,118870.4,2020/01/29,199969,弊社岡山第１工場,23123,永瀬　智徳,03-Dec-19
800004,株式会社栄ライト工業所,29-110969,#18 DNP-D646-35ｶｲ2,080,KAK G,ｷﾞｱ･ﾌﾗﾝｼﾞ           ,MLD-MD-20036,MD-SPA-FﾌﾗﾝｼﾞT-Rｶｲ1,2019/12/03,408,11.80,4814.4,2020/01/06,199969,弊社岡山第１工場,24123,永瀬　智徳,03-Dec-19
800004,株式会社栄ライト工業所,29-111060,#19 CK-D758(H)ｶｲ5,080,KAK G,ｷﾞｱ･ﾌﾗﾝｼﾞ           ,MLD-MD-20036,MD-SPA-FﾌﾗﾝｼﾞT-Rｶｲ1,2019/12/03,18210,11.80,214878,2020/01/06,199969,弊社岡山第１工場,25123,永瀬　智徳,03-Dec-19
800004,株式会社栄ライト工業所,29-111063,#2 CK-D768COMMON-35G,080,KAK G,ｷﾞｱ･ﾌﾗﾝｼﾞ           ,MLD-MD-20036,MD-SPA-FﾌﾗﾝｼﾞT-Rｶｲ1,2019/12/03,20904,11.80,246667.2,2020/01/10,199969,弊社岡山第１工場,26123,永瀬　智徳,03-Dec-19
800004,株式会社栄ライト工業所,29-111066,#3 CK-D768COMMON-35G,080,KAK G,ｷﾞｱ･ﾌﾗﾝｼﾞ           ,MLD-MD-20036,MD-SPA-FﾌﾗﾝｼﾞT-Rｶｲ1,2019/12/03,20100,11.80,237180,2020/01/24,199969,弊社岡山第１工場,27123,永瀬　智徳,03-Dec-19
800004,株式会社栄ライト工業所,29-111067,#2 CK-D868COMMON-35G,080,KAK G,ｷﾞｱ･ﾌﾗﾝｼﾞ           ,MLD-MD-20036,MD-SPA-FﾌﾗﾝｼﾞT-Rｶｲ1,2019/12/03,32160,11.80,379488,2020/01/17,199969,弊社岡山第１工場,28123,永瀬　智徳,03-Dec-19
800004,株式会社栄ライト工業所,29-111071,#1 CR-D70ｶｲ3,080,KAK G,ｷﾞｱ･ﾌﾗﾝｼﾞ           ,MLD-MD-20036,MD-SPA-FﾌﾗﾝｼﾞT-Rｶｲ1,2019/12/03,102,11.80,1203.6,2020/01/27,199969,弊社岡山第１工場,29123,永瀬　智徳,03-Dec-19
800004,株式会社栄ライト工業所,29-111137,#15 CK-D746(K)-35EUｶｲ1,080,KAK G,ｷﾞｱ･ﾌﾗﾝｼﾞ           ,MLD-MD-20036,MD-SPA-FﾌﾗﾝｼﾞT-Rｶｲ1,2019/12/03,6754,11.80,79697.2,2020/01/29,199969,弊社岡山第１工場,20133,永瀬　智徳,03-Dec-19
