datetime,seikeiki,product_id,present_kensahyou,product_name,tantou,,
2018-1-15 08:00,4,P2166-93010,0,カゴピンB,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-15 08:00,5,BON-CO-20002,0,CO-A4ボビン,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-15 08:00,6,MLD-MD-20037,0,MD-SPA-FフランジS-R1カイ1（黒）,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-15 08:00,7,P2132-93010,0,ラッチB,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-15 08:00,8,P0335-PC450K,0,チョウセイアシ,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-15 08:00,9,W002,0,ターミナル,10800,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-15 09:00,5,P2918-02C20,0,キュウスイベンイタ,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-15 10:30,6,P007C-L71,0,レバー71,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-15 13:00,7,W3440-8RT00,0,サスペンションキャップ,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-15 14:00,3,P1189-31340,0,コモノイレA,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-16 08:00,1,MLD-EX-20002,0,PPキャップΦ56,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-16 08:00,2,P0192-63040,0,フタチョウバンL,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-16 08:00,3,P1189-31340,0,コモノイレA,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-16 08:00,4,P2166-93010,0,カゴピンB,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-16 08:00,5,P2918-02C20,0,キュウスイベンイタ,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-16 08:00,6,P007C-L71,0,レバー71,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-16 08:00,7,W3440-8RT00,0,サスペンションキャップ,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-16 08:00,8,P0335-PC450K,0,チョウセイアシ,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-16 08:00,9,W002,0,ターミナル,10800,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-16 09:00,1,W2131-8RU20,0,ラッチAR,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-16 10:30,4,P2166-67360,0,カゴピンB（L）,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-16 13:00,7,P0170-96500,0,ホースハンガー,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-16 14:00,6,H2364-41200,0,ハイキコウガイド,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-16 15:00,8,H1193-34420D,0,ドアキャッチA,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-16 16:00,5,P0120-82200,0,ホースホルダーA,追加注文2000が入ったため,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-17 08:00,1,W2131-8RU20,0,ラッチAR,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-17 08:00,2,P0192-63040,0,フタチョウバンL,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-17 08:00,3,P1189-31340,0,コモノイレA,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-17 08:00,4,P2166-67360,0,カゴピンB（L）,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-17 08:00,5,P0120-82200,0,ホースホルダーA,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-17 08:00,6,H2364-41200,0,ハイキコウガイド,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-17 08:00,7,P0170-96500,0,ホースハンガー,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-17 08:00,8,H1193-34420D,0,ドアキャッチA,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-17 08:00,9,W002,0,ターミナル,10800,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-17 09:00,2,P2166-93100,0,カゴピンB,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-17 10:30,8,RE03-7372HH,0,ウワワクキャップ,8000個,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-17 13:00,3,P1189-02E20,0,コモノイレA,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-17 14:30,1,MLD-EX-20002,0,PPキャップΦ56,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-17 15:30,6,W2131-6SB00,0,ラッチA,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-17 23:50,8,RE03-B471HH,0,ウワワクキャップ,28000個,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-18 08:00,1,MLD-EX-20002,0,PPキャップΦ56,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-18 08:00,2,P2166-93100,0,カゴピンB,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-18 08:00,3,P1189-02E20,0,コモノイレA,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-18 08:00,4,P2166-67360,0,カゴピンB（L）,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-18 08:00,5,P0120-82200,0,ホースホルダーA,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-18 08:00,6,W2131-6SB00,0,ラッチA,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-18 08:00,7,P0170-96500,0,ホースハンガー,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-18 08:00,8,RE03-B471HH,1,ウワワクキャップ,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-18 08:00,9,W002,0,ターミナル,10500個,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-18 09:00,7,P2922-02C00,0,キュウスイベンカラー,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-18 10:00,6,H0509-34430,0,メタルA,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-18 11:00,4,MLD-MD-20035,0,MD-SPA-FフランジST-L カイ1,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-18 13:00,3,BON-MD-20023,0,MD-SPA-ボビン カイ1,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-18 14:30,2,W0110-8RT00M,0,ハンガー（白）,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-19 08:00,1,MLD-EX-20002,0,PPキャップΦ56,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-19 08:00,2,W0110-8RT00M,0,ハンガー（白）,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-19 08:00,3,BON-MD-20023,0,MD-SPA-ボビン カイ1,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-19 08:00,4,MLD-MD-20035,0,MD-SPA-FフランジST-L カイ1,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-19 08:00,5,P0120-82200,0,ホースホルダーA,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-19 08:00,6,H0509-34430,0,メタルA,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-19 08:00,7,P2922-02C00,0,キュウスイベンカラー,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-19 08:00,8,RE03-B471HH,0,ウワワクキャップ,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-19 08:00,9,W002,0,ターミナル,450個,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-19 09:00,9,P002X-05Z10,0,フィルターAU,2900個,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-19 11:00,7,P2922-82200,1,キュウスイベンカラー,2000個,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-19 11:00,8,RF51-B471HH,1,ウワワクキャップ,30500個,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-19 14:30,6,P1295-82200,0,ホースホルダーB,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-19 16:00,5,H1316-40300,0,ヒーターカバー,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-20 08:00,9,P002X-05Z10,0,フィルターAU,1500個,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-22 08:00,1,MLD-EX-20002,0,PPキャップΦ56,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-22 08:00,2,W0110-8RT00M,0,ハンガー（白）,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-22 08:00,3,BON-MD-20023,0,MD-SPA-ボビン カイ1,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-22 08:00,4,MLD-MD-20035,0,MD-SPA-FフランジST-L カイ1,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-22 08:00,5,H1316-40300,0,ヒーターカバー,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-22 08:00,6,P1295-82200,0,ホースホルダーB,5000個,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-22 08:00,7,P2922-82200,0,キュウスイベンカラー,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-22 08:00,8,RF51-B471HH,0,ウワワクキャップ,30500個,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-22 08:00,9,P002X-05Z10,0,フィルターAU,3300個,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-22 09:00,7,P1127-93100,0,タンクウケステーB(R),,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-22 13:00,6,P1126-93010,0,タンクウケステーA,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-22 23:50,8,RF52-7962HH,0,ウワワクキャップ,31500個,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-23 08:00,1,MLD-EX-20002,0,PPキャップΦ56,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-23 08:00,2,W0110-8RT00M,0,ハンガー（白）,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-23 08:00,3,BON-MD-20023,0,MD-SPA-ボビン カイ1,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-23 08:00,4,MLD-MD-20035,0,MD-SPA-FフランジST-L カイ1,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-23 08:00,5,H1316-40300,0,ヒーターカバー,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-23 08:00,6,P1126-93010,0,タンクウケステーA,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-23 08:00,7,P1127-93100,0,タンクウケステーB(R),,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-23 08:00,8,RF52-7962HH,0,ウワワクキャップ,31500個,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-23 08:00,9,P002X-05Z10,0,フィルターAU,3300個,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-23 09:00,5,1127-93000,0,,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-23 10:30,2,P0192-63040,0,フタチョウバンL,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-23 13:00,4,P2166-02F00,0,カゴピンB,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-23 14:30,7,P2150-02E00,0,センザイイレ,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-23 16:00,6,MLD-MD-20036,0,MD-SPA-FフランジT-R カイ1,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-24 08:00,1,MLD-EX-20002,0,PPキャップΦ56,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-24 08:00,2,P0192-63040,0,フタチョウバンL,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-24 08:00,3,BON-MD-20023,0,MD-SPA-ボビン カイ1,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-24 08:00,4,P2166-02F00,0,カゴピンB,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-24 08:00,5,1127-93000,0,,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-24 08:00,6,MLD-MD-20036,0,MD-SPA-FフランジT-R カイ1,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-24 08:00,7,P2150-02E00,0,センザイイレ,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-24 08:00,8,RF52-7962HH,0,ウワワクキャップ,31500個,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-24 08:00,9,P002X-05Z10,0,フィルターAU,150個,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-24 09:00,9,W002,0,ターミナル,9000個,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-24 11:00,5,P2918-02C20,0,キュウスイベンイタ,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-24 13:00,1,MLD-EX-20001,0,樹脂ｷｬｯﾌﾟS-35,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-24 14:30,7,P1171-02E00,0,カゴトッテ,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-24 15:30,4,P2166-02E00,0,カゴピンB,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-25 08:00,1,W0545-8RT00,0,リードセンカバー,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-25 08:00,2,P0192-63040,0,フタチョウバンL,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-25 08:00,3,BON-MD-20023,0,MD-SPA-ボビン カイ1,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-25 08:00,4,P2166-02E00,0,カゴピンB,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-25 08:00,5,P2918-02C20,0,キュウスイベンイタ,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-25 08:00,6,MLD-MD-20036,0,MD-SPA-FフランジT-R カイ1,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-25 08:00,7,P1171-02E00,0,カゴトッテ,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-25 08:00,8,RF52-7962HH,0,ウワワクキャップ,31500個,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-25 08:00,9,W002,0,ターミナル,10800個,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-25 09:00,4,P2166-67360,0,カゴピンB（L）,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-25 09:00,8,RE03-7112HH,0,ウワワクキャップ,8000個,0,f606ea4c-3274-4db6-9c95-52304761b41d,
2018-1-25 13:00,2,W0110-8RT00M,0,ハンガー（白）,,0,f606ea4c-3274-4db6-9c95-52304761b41d,
