product_id,irisu,id_box,,
MLD-MD-20047,800,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-MD-20048,80,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-MD-20049,80,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-MD-20050,90,0,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-MD-20051,78,0,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-MD-20052,2000,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-MD-20053,2000,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-MD-20054,1200,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-MD-20055,1200,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-MD-20056,800,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-MD-20057,800,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-MD-20058,1200,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-MD-22222,1200,2,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-NDS-20001,1000,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-NDS-20002,1000,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
MLD-UR-20001,4000,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
NB02-100-K0,100,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
NB02-100-R0,100,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
NB02-100-W0,100,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
NB04-100-K0,100,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
NB04-100-U0,100,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
NC02-100-K0,50,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
NC02-100-R0,50,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
NC02-100-W0,100,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
NC04-100-K0,60,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
NC04-100-U0,60,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
NC07-101-K0,50,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
NC07-101-R0,60,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
NC07-101-W0,60,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
NC08-101-K0,60,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
NC09-101-K0,100,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
NH101,600,2,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P001V-06G00,100,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P002X-05Z00,100,a,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P002X-05Z10,100,3,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P002X-05Z20,135,a,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P002X-15310,100,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P002X-27500,50,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P002X-31330,60,2,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P002X-34220,80,2,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P002X-36410,94,2,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P002X-93000,100,a,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P002X-93010,100,a,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P002X-93020,100,a,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P002X-93030,100,a,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P003V-15340,100,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P006T-02E00,30,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P006T-02E10,30,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P006T-02E20,30,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P006T-02F00,24,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P006T-06F00,24,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P006T-06F10,24,1,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P007A-09410,500,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P007A-12410,600,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P007B-12420,500,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P007C-L71,2000,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
P007C-L72,2000,8,0,f606ea4c-3274-4db6-9c95-52304761b41d,
