id,datetime_hakkou,product_id,lot_num,amount,flag_used,date_deliver,place_deliver_id,cs_name,operator_deliver,flag_deliver,delete_flg,updated_at
899254,2019/11/13 04:10:00,P2166-02F10,191113-015,60,9,,,,,,,
899255,2019/11/13 04:10:00,P2166-02F10,191113-016,60,9,,,,,,,
899256,2019/11/13 04:10:00,P2166-02F10,191113-017,60,9,,,,,,,
899257,2019/11/13 04:10:00,P2166-02F10,191113-018,60,9,,,,,,,
899258,2019/11/13 04:10:00,P2166-02F10,191113-019,60,9,,,,,,,
899259,2019/11/13 04:10:00,P2166-02F10,191113-020,60,9,,,,,,,
899260,2019/11/13 04:10:00,P2166-02F10,191113-021,60,9,,,,,,,
899261,2019/11/13 04:10:00,P2166-02F10,191113-022,60,9,,,,,,,
899262,2019/11/13 04:10:00,P2166-02F10,191113-023,60,9,,,,,,,
899263,2019/11/13 04:10:00,P2166-02F10,191113-024,60,9,,,,,,,
899264,2019/11/13 04:10:00,P2166-02F10,191113-025,60,9,,,,,,,
899265,2019/11/13 04:10:00,P2166-02F10,191113-026,60,9,,,,,,,
899266,2019/11/13 04:10:00,P2166-02F10,191113-027,60,9,,,,,,,
899267,2019/11/13 04:10:00,P2166-02F10,191113-028,60,9,,,,,,,
899268,2019/11/13 04:10:00,P2166-02F10,191113-029,60,9,,,,,,,
899269,2019/11/13 04:10:00,P2166-02F10,191113-030,60,9,,,,,,,
899270,2019/11/13 04:10:00,P2166-02F10,191113-031,60,9,,,,,,,
899271,2019/11/13 04:10:00,P2166-02F10,191113-032,60,9,,,,,,,
899272,2019/11/13 04:10:00,P2166-02F10,191113-033,60,9,,,,,,,
899273,2019/11/13 04:10:00,P2166-02F10,191113-034,60,9,,,,,,,
899274,2019/11/13 04:10:00,P2166-02F10,191113-035,60,9,,,,,,,
899275,2019/11/13 04:10:00,P2166-02F10,191113-036,60,9,,,,,,,
899276,2019/11/13 04:10:00,P2166-02F10,191113-037,60,9,,,,,,,
899277,2019/11/13 04:10:00,P2166-02F10,191113-038,60,9,,,,,,,
899278,2019/11/13 04:10:00,P2166-02F10,191113-039,60,9,,,,,,,
899279,2019/11/13 04:10:00,P2166-02F10,191113-040,60,9,,,,,,,
899280,2019/11/13 04:10:00,P2166-02F10,191113-041,60,9,,,,,,,
899281,2019/11/13 04:10:00,P2166-02F10,191113-042,60,9,,,,,,,
899282,2019/11/13 04:10:00,P2166-02F10,191113-043,60,9,,,,,,,
899283,2019/11/13 04:10:00,P2166-02F10,191113-044,60,9,,,,,,,
899284,2019/11/13 04:10:00,P2166-02F10,191113-045,60,9,,,,,,,
899285,2019/11/13 04:10:00,P2166-02F10,191113-046,60,9,,,,,,,
899286,2019/11/13 04:10:00,P2166-02F10,191113-047,60,9,,,,,,,
899287,2019/11/13 04:10:00,P2166-02F10,191113-048,60,9,,,,,,,
899288,2019/11/13 04:10:00,P2166-02F10,191113-049,60,9,,,,,,,
899289,2019/11/13 04:10:00,P2166-02F10,191113-050,60,9,,,,,,,
899290,2019/11/13 04:10:00,P2166-02F10,191113-051,60,9,,,,,,,
899291,2019/11/13 04:10:00,P2166-02F10,191113-052,60,9,,,,,,,
899292,2019/11/13 04:10:00,P2166-02F10,191113-053,60,9,,,,,,,
899293,2019/11/13 04:10:00,P2166-02F10,191113-054,60,9,,,,,,,
899294,2019/11/13 04:10:00,P2166-02F10,191113-055,60,9,,,,,,,
899295,2019/11/13 04:10:00,P2166-02F10,191113-056,60,9,,,,,,,
899296,2019/11/13 04:10:00,P2166-02F10,191113-057,60,9,,,,,,,
899297,2019/11/13 04:10:00,P2166-02F10,191113-058,60,9,,,,,,,
899298,2019/11/13 04:10:00,P2166-02F10,191113-059,60,9,,,,,,,
899299,2019/11/13 04:10:00,P2166-02F10,191113-060,60,9,,,,,,,
899300,2019/11/13 04:10:00,P2166-02F10,191113-061,60,9,,,,,,,
899301,2019/11/13 04:10:00,P2166-02F10,191113-062,60,9,,,,,,,
899302,2019/11/13 04:10:00,P2166-02F10,191113-063,60,9,,,,,,,
899303,2019/11/13 04:10:00,P2166-02F10,191113-064,60,9,,,,,,,
899304,2019/11/13 04:10:00,P2166-02F10,191113-065,60,9,,,,,,,
899305,2019/11/13 04:10:00,P2166-02F10,191113-066,60,9,,,,,,,
899306,2019/11/13 04:10:00,P2166-02F10,191113-067,60,9,,,,,,,
899307,2019/11/13 04:10:00,P2166-02F10,191113-068,60,9,,,,,,,
899308,2019/11/13 04:10:00,P2166-02F10,191113-069,60,9,,,,,,,
899309,2019/11/13 04:10:00,P2166-02F10,191113-070,60,9,,,,,,,
899310,2019/11/13 04:10:00,P2166-02F10,191113-071,60,9,,,,,,,
899311,2019/11/13 04:10:00,P2166-02F10,191113-072,60,9,,,,,,,
899312,2019/11/13 04:10:00,P2166-02F10,191113-073,60,9,,,,,,,
899313,2019/11/13 04:10:00,P2166-02F10,191113-074,60,9,,,,,,,
899314,2019/11/13 04:10:00,P2166-02F10,191113-075,60,9,,,,,,,
899315,2019/11/13 04:10:00,P2166-02F10,191113-076,60,9,,,,,,,
899316,2019/11/13 04:10:00,P2166-02F10,191113-077,60,9,,,,,,,
899317,2019/11/13 04:10:00,P2166-02F10,191113-078,60,9,,,,,,,
899318,2019/11/13 04:10:00,P2166-02F10,191113-079,60,9,,,,,,,
899319,2019/11/13 04:10:00,P2166-02F10,191113-080,60,9,,,,,,,
899320,2019/11/13 04:10:00,P2166-02F10,191113-081,60,9,,,,,,,
899321,2019/11/13 04:10:00,P2166-02F10,191113-082,60,9,,,,,,,
899322,2019/11/13 04:10:00,P2166-02F10,191113-083,60,9,,,,,,,
899323,2019/11/13 04:10:00,P2166-02F10,191113-084,60,9,,,,,,,
899324,2019/11/13 04:10:00,P2166-02F10,191113-085,60,9,,,,,,,
899325,2019/11/13 04:23:00,BON-DFL-20008,191113-011,500,0,,,,,,,
899326,2019/11/13 04:23:00,BON-DFL-20008,191113-012,500,0,,,,,,,
899327,2019/11/13 04:23:00,BON-DFL-20008,191113-013,500,0,,,,,,,
899328,2019/11/13 04:23:00,BON-DFL-20008,IN.191113-011,500,0,,,,,,,
899329,2019/11/13 04:23:00,BON-DFL-20008,IN.191113-012,500,0,,,,,,,
899330,2019/11/13 04:23:00,BON-DFL-20008,IN.191113-013,500,0,,,,,,,
899331,2019/11/13 04:23:00,CAS-NDS-20002,191113-001,144,9,,,,,,,
899332,2019/11/13 04:23:00,CAS-NDS-20002,191113-002,144,9,,,,,,,
899333,2019/11/13 04:23:00,CAS-NDS-20002,191113-003,144,9,,,,,,,
899334,2019/11/13 04:23:00,CAS-NDS-20002,191113-004,144,9,,,,,,,
899335,2019/11/13 04:23:00,CAS-NDS-20002,191113-005,144,9,,,,,,,
899336,2019/11/13 04:23:00,CAS-NDS-20002,191113-006,144,9,,,,,,,
899337,2019/11/13 04:23:00,CAS-NDS-20002,191113-007,144,9,,,,,,,
899338,2019/11/13 04:23:00,CAS-NDS-20002,191113-008,144,9,,,,,,,
899339,2019/11/13 04:23:00,CAS-NDS-20002,191113-009,144,9,,,,,,,
899340,2019/11/13 04:23:00,CAS-NDS-20002,191113-010,144,9,,,,,,,
899341,2019/11/13 04:23:00,CAS-NDS-20002,191113-011,144,9,,,,,,,
899342,2019/11/13 04:23:00,CAS-NDS-20002,IN.191113-001,144,9,,,,,,,
899343,2019/11/13 04:23:00,CAS-NDS-20002,IN.191113-002,144,9,,,,,,,
899344,2019/11/13 04:23:00,CAS-NDS-20002,IN.191113-003,144,9,,,,,,,
899345,2019/11/13 04:23:00,CAS-NDS-20002,IN.191113-004,144,9,,,,,,,
899346,2019/11/13 04:23:00,CAS-NDS-20002,IN.191113-005,144,9,,,,,,,
899347,2019/11/13 04:23:00,CAS-NDS-20002,IN.191113-006,144,9,,,,,,,
899348,2019/11/13 04:23:00,CAS-NDS-20002,IN.191113-007,144,9,,,,,,,
899349,2019/11/13 04:23:00,CAS-NDS-20002,IN.191113-008,144,9,,,,,,,
